,회사명,거래소코드,회계년도,한계기업여부,이자보상배율(이자비용)
1131,(주)서울리거,043710,2018.0,1,-1.01
1132,(주)자연과환경,043910,2011.0,1,-7.76
1133,(주)자연과환경,043910,2012.0,1,-4.16
1134,(주)자연과환경,043910,2013.0,0,-2.13
1135,(주)자연과환경,043910,2016.0,1,-13.84
1136,(주)자연과환경,043910,2017.0,0,-8.54
1137,KD(주),044180,2011.0,0,0.72
1138,KD(주),044180,2014.0,0,-9.32
1139,KD(주),044180,2018.0,0,-3.84
1140,(주)위닉스,044340,2016.0,0,0.69
1141,(주)블루베리엔에프티,044480,2011.0,0,-26.11
1142,(주)블루베리엔에프티,044480,2015.0,1,-29.21
1143,(주)블루베리엔에프티,044480,2016.0,1,-29.21
1144,(주)블루베리엔에프티,044480,2017.0,1,-29.21
1145,(주)블루베리엔에프티,044480,2018.0,1,-0.42
1146,(주)태웅,044490,2018.0,1,-4.38
1147,성우테크론(주),045300,2013.0,1,0.73
1148,성우테크론(주),045300,2014.0,0,0.92
1149,(주)토탈소프트뱅크,045340,2012.0,1,-29.21
1150,(주)토탈소프트뱅크,045340,2013.0,0,-29.21
1151,(주)정원엔시스,045510,2011.0,0,0.29
1152,(주)금빛,045890,2012.0,0,-1.49
1153,(주)금빛,045890,2018.0,1,-8.83
1154,(주)코아시아,045970,2013.0,1,0.03
1155,(주)코아시아,045970,2014.0,1,-3.23
1156,(주)코아시아,045970,2015.0,0,0.76
1157,(주)코다코,046070,2018.0,1,-1.51
1158,(주)오르비텍,046120,2014.0,0,-1.47
1159,(주)파나진,046210,2011.0,1,-0.23
1160,(주)파나진,046210,2012.0,1,-2.76
1161,(주)파나진,046210,2013.0,1,-2.96
1162,(주)파나진,046210,2014.0,1,-0.78
1163,(주)파나진,046210,2015.0,1,0.12
1164,(주)파나진,046210,2016.0,1,-0.76
1165,(주)파나진,046210,2017.0,1,-14.9
1166,(주)파나진,046210,2018.0,1,-29.21
1167,(주)백금티앤에이,046310,2014.0,1,0.39
1168,(주)백금티앤에이,046310,2015.0,1,0.74
1169,(주)백금티앤에이,046310,2016.0,0,-2.03
1170,(주)삼화네트웍스,046390,2015.0,0,-29.21
1171,(주)삼화네트웍스,046390,2018.0,0,-29.21
1172,(주)우리로,046970,2014.0,0,-11.19
1173,(주)우리로,046970,2017.0,0,-6.0
1174,(주)한빛소프트,047080,2011.0,0,-9.71
1175,(주)한빛소프트,047080,2016.0,1,-5.34
1176,(주)한빛소프트,047080,2017.0,0,-8.88
1177,레이젠(주),047440,2012.0,1,-1.03
1178,레이젠(주),047440,2013.0,0,-1.55
1179,(주)이스트소프트,047560,2013.0,1,-2.77
1180,(주)이스트소프트,047560,2014.0,1,-1.21
1181,(주)이스트소프트,047560,2015.0,1,-2.21
1182,(주)이스트소프트,047560,2016.0,1,-2.94
1183,(주)이스트소프트,047560,2017.0,0,-0.65
1184,(주)코데즈컴바인,047770,2013.0,1,-5.79
1185,(주)코데즈컴바인,047770,2014.0,1,-17.85
1186,(주)코데즈컴바인,047770,2015.0,0,-23.63
1187,(주)초록뱀미디어,047820,2014.0,1,-29.21
1188,(주)초록뱀미디어,047820,2015.0,0,-8.86
1189,(주)초록뱀미디어,047820,2018.0,1,0.34
1190,에이치엘비제약(주),047920,2016.0,1,0.58
1191,에이치엘비제약(주),047920,2017.0,1,-1.81
1192,에이치엘비제약(주),047920,2018.0,0,-6.78
1193,현대바이오사이언스(주),048410,2012.0,1,-5.92
1194,현대바이오사이언스(주),048410,2013.0,0,-16.73
1195,현대바이오사이언스(주),048410,2017.0,0,0.84
1196,(주)인트론바이오테크놀로지,048530,2012.0,1,-2.03
1197,(주)인트론바이오테크놀로지,048530,2013.0,0,0.23
1198,(주)인트론바이오테크놀로지,048530,2017.0,0,-28.7
1199,(주)에스엠컬처앤콘텐츠,048550,2013.0,1,-1.38
1200,(주)에스엠컬처앤콘텐츠,048550,2014.0,1,-12.2
1201,(주)에스엠컬처앤콘텐츠,048550,2015.0,0,-16.19
1202,(주)에스엠컬처앤콘텐츠,048550,2018.0,0,-3.25
1203,(주)시너지이노베이션,048870,2011.0,1,-0.98
1204,(주)시너지이노베이션,048870,2012.0,1,-1.24
1205,(주)시너지이노베이션,048870,2013.0,1,-5.02
1206,(주)시너지이노베이션,048870,2014.0,1,-2.24
1207,(주)시너지이노베이션,048870,2015.0,1,-7.01
1208,(주)시너지이노베이션,048870,2016.0,1,-0.81
1209,(주)시너지이노베이션,048870,2017.0,1,-0.26
1210,(주)시너지이노베이션,048870,2018.0,1,0.74
1211,대원미디어(주),048910,2011.0,0,-3.09
1212,(주)기가레인,049080,2016.0,0,-4.14
1213,(주)파인디앤씨,049120,2012.0,1,-1.0
1214,(주)파인디앤씨,049120,2013.0,0,-1.51
1215,(주)셀루메드,049180,2014.0,1,-4.65
